identifier	abstract	labels
a50f0ec68e825bc5fd705bd48b954288dcba934f407630dc2f11b9acaa35760d	 Les chats persans sont prédisposés à la dermatophytose sévère et chronique. Les altérations du microbiote cutané sont un des facteurs potentiels contribuant à cette prédisposition. Caractériser le microbiote cutané et environnemental fongique des persans atteints de dermatophytose chronique sévère et comparer le microbiote fongique des chats avec et sans dermatophytose. Trente six chats de propriétaires, incluant 26 persans et 10 européens à poils longs (DLH). MATÉRIELS ET MÉTHODES: Les écouvillons cutanés et environnementaux ont été prélevés de chats persans atteints de dermatophytose chronique sévère ainsi que de chats sains contrôles (persans et DLH). Le séquençage de l’ITS1 (internal transcribed spacer 1) a été réalisé en plus d’une PCR quantitative ITS1 et d’une culture fongique. RÉSULTATS: Le séquençage de dernière génération (NGS) ciblant la région ITS fongique a détecté l’ADN de Microsporum sp. pour tous les persans diagnostiqués avec dermatophytose et pour l’environnement de leur habitat. Une différence significative de structure de communauté a été identifiée entre les cas et les contrôles, résultant largement de l’ADN de Microsporum sp. dans les échantillons des chats atteints. Les persans avec dermatophytose ne présentaient pas de diminution de la diversité fongique. NGS n’a pas permis d’identifier l’ADN de dermatophyte sur deux cultures positives de persans contrôles asymptomatiques et a identifié l’ADN de Trichophyton rubrum sur un chat contrôle asymptomatique avec culture négative. Hormis pour M. canis, nos résultats indiquent que la dysbiose fongique ne semble pas jouer un rôle dans le développement de la dermatophytose chez le chat persan. D’autres explications de prédisposition à cette maladie, telle qu’une immunodéficience primaire, un toilettage inefficace ou des critères uniques aux poils des persans devraient être étudiés. 	veterinary
d0934487c4ad0e89064922e328fed0bac6254e13228b5f40c8936b75932b9a72	 La fièvre est un symptôme commun en pédiatrie et est principalement due à des étiologies infectieuses. Selon l’âge du patient, la présentation clinique sera différente et les causes de fièvre seront variables ; une bonne compréhension des spécificités de chaque âge est essentielle pour une détection et un traitement précoces des infections invasives et potentiellement fatales. La fièvre peut également être causée par une maladie inflammatoire. Une bonne connaissance de ces causes est essentielle pour éviter des traitements antibiotiques itératifs inutiles et une longue errance diagnostique. 	etiology
f41a028de359318c28d050afc31a1392bf5384ac38feb1a68b8f12c909e991b9	 Profil complet des caractéristiques sociodémographiques, psychosociales et sanitaires des clients des soins à domicile atteints de démence en Ontario. Cette étude fournit une synthèse des caractéristiques sociodémographiques, psychosociales et sanitaires d’une vaste cohorte représentative des clients des soins à domicile en Ontario (âgés de 50 ans ou plus) atteints de démence et elle examine les variations de ces caractéristiques chez les clients atteints de maladies neurologiques concomitantes. Les clients ont été évalués à l’aide de l’Instrument d’évaluation des résidents – Soins à domicile (RAI-HC) entre janvier 2003 et décembre 2010. Les analyses descriptives fournissent la répartition de ces caractéristiques en comparant les clients atteints de démence et ceux de plusieurs autres groupes ainsi que ceux atteints d’autres maladies neurologiques documentées. Environ 22 % des clients (n = 104 802) avaient reçu un diagnostic de démence (âge moyen de 83 ans, 64 % de femmes) et un sur quatre parmi eux était atteint d’une maladie neurologique concomitante (AVC ou maladie de Parkinson la plupart du temps). Environ 43 % des clients atteints de démence n’habitaient pas avec leur principal aidant. Par rapport aux clients des groupes de comparaison, les clients atteints de démence présentaient des taux considérablement plus élevés de déficit cognitif et fonctionnel, d’agressivité, d’anxiété, d’errance et d’hallucinations ou de délire, avaient plus souvent un aidant en détresse et couraient un plus grand risque de placement en établissement. Par contre, ils étaient moins souvent atteints de diverses maladies chroniques et étaient moins nombreux à avoir eu recours à des services de santé récemment. Les symptômes de dépression étaient relativement fréquents chez les clients atteints de démence et chez ceux atteints d’une autre maladie neurologique. Les clients atteints de maladies neurologiques concomitantes présentaient des profils cliniques bien particuliers illustrant la nécessité de personnaliser et d’assouplir les services de soins à domicile et d’améliorer les programmes de soutien pour les aidants. 	psychology
257722fd4a1916ea765e3e3dcb80e11ce30caa430550007629e290f8b107e5ba	 La privation de liberté est l’une des situations les plus traumatisantes qu’un être humain puisse connaître au cours de son existence. De tous les programmes de réhabilitation appliqués dans les prisons aux États-Unis d’Amérique, Prison Dog Programme est celui qui donne les meilleurs résultats ; il consiste à confier aux détenus la tâche de dresser des chiens en vue d’en faire des chiens aidants qui rendront des services à d’autres personnes atteintes de divers types de handicap. Il s’agit d’un système typiquement « gagnant-gagnant » : le détenu est gagnant, car il renoue avec des sentiments positifs d’affection et de solidarité, tout en recevant un outil concret pour sa vie future une fois libéré ; la personne handicapée est gagnante, car elle reçoit un chien qui l’aidera à vivre au quotidien ; le chien est gagnant, surtout s’il était un chien errant avant d’être adopté, car il accède à une vie meilleure ; enfin, les institutions sont gagnantes car leurs objectifs sont mieux remplis, de même que la société, qui grâce à cet outil concret facilite, la réinsertion sociale des personnes privées de liberté. Les auteurs décrivent le fonctionnement et les réussites de la version argentine de ce programme, intitulée « Traces d’espérance » (Huellas de Esperanza). Le programme a été mis en place par le système pénitentiaire fédéral en 2010 et doté de véritables ressources étatiques; au total, 86 détenus en ont bénéficié et plus d’une douzaine de chiens aidants ont été remis à des personnes handicapées, en plus du grand nombre de chiens dressés et remis à des centres de gériatrie pour apporter un réconfort aux pensionnaires. Les auteurs expliquent la méthodologie suivie, ainsi que la réduction des conflits en milieu carcéral et le faible taux de récidives parmi les ex-détenus ayant participé au programme. 	psychology
9f068f0c439b16f02dc2af259782e07172decf07c5f299bed51c10b4f15433b6	 La comorbidité des troubles physiques et mentaux représente un défi majeur pour les soins de santé dans le monde. Leur prévalence augmente et continuera probablement à croître en raison de l'augmentation de l'espérance de vie et d'autres facteurs. La comorbidité de la dépression et du diabète peut être observée comme un exemple typique de la comorbidité somatique/mentale. La prévalence des deux maladies augmente et la dépression est deux fois plus fréquente chez les diabétiques que chez les non-diabétiques. Les services de santé sont dans l'ensemble mal préparés à leur prise en charge et la spécialisation (ainsi que la fragmentation) croissante de la médecine va probablement aggraver les choses. Dans cet article, nous analysons l'épidémiologie et les facteurs de risque de la comorbidité dépression et diabète et nous décrivons les domaines sur lesquels se concentrer afin de diminuer les problèmes consécutifs à cette comorbidité. 	psychology|physiology
d7a32ef203b96278637bffa1c53a18c22c70f9900305ecce151e1299187a1615	 Plus de 800 000 personnes meurent chaque année par suicide et environ 20 fois plus tentent de se suicider. Dans la plupart des pays, le risque suicidaire est plus élevé chez les hommes âgés et le risque de tentative de suicide est plus élevé chez les femmes jeunes. Le taux de décès plus élevé des actes suicidaires chez les hommes s'explique par le choix de méthodes plus létales et par d'autres facteurs. Dans la grande majorité des cas, le comportement suicidaire survient dans le contexte de troubles psychiatriques dont la dépression représente le plus important. Les programmes de prévention du suicide sont axés sur l'amélioration du traitement de la dépression, la restriction de l'accès aux moyens létaux et la prévention de l'effet Werther (suicide mimétique). Dans plusieurs régions européennes, le concept d'intervention a quatre niveaux de l'European Alliance Against Depression (www.EAAD.net), ciblant simultanément la dépression et le comportement suicidaire, a montré des effets préventifs sur le comportement suicidaire. Il est déjà mis en oeuvre dans plus de 100 régions en Europe. 	psychology
50e9224fc039d8c3fb11509ed7c5742ffe082e7ad70521f4ce0ddfeb08e12369	 Les lésions de la moelle épinière peuvent avoir de nombreuses conséquences autres que la perturbation des fonctions sensitives et motrices. Une lésion d’un niveau médullaire supérieur ou égal au sixième segment thoracique (T6) entraîne, fréquemment, une dysrégulation du système nerveux autonome et le développement d’un syndrome appelé hyperréflexie ou dysréflexie autonome. Il s’agit d’une crise hypertensive déclenchée par des stimuli viscéraux ou somatiques sous le niveau de la lésion et causée par des réflexes sympathiques médullaires non modulés par les centres régulateurs encéphaliques. Les patients porteurs de lésions médullaires bénéficient, régulièrement, d’interventions chirurgicales pour des raisons multiples. Les complications potentiellement létales de l’hyperréflexie autonome exigent des médecins et, en particulier, des anesthésistes-réanimateurs une connaissance des mécanismes physiopathologiques sous-jacents et une prise en charge péri-interventionnelle adéquate. 	etiology
b5570c116ac04ebbff4be99ba960f68a13827fbdd3102dbda4df983710bb977e	 RéSUMé: CONTEXTE: Au Mali, où seulement 15% des femmes en âge de procréer utilisent les contraceptifs modernes, la compréhension des réalités des femmes et de la conception du système de santé aident à éclairer les stratégies pour atteindre l’objectif national de 30% d’ici 2023. MéTHODES: En utilisant les données d’enquête de base d’un essai randomisé en grappes, avec la géolocalisation précise de tous les ménages et centres de santé publiques, nous avons utilisé un modèle à plusieurs niveaux pour évaluer l’influence de l’individu, du ménage, de la communauté et du système de santé sur l’utilisation de la contraception moderne. Nous avons utilisé la régression logistique à effets mixtes pour mesurer l’autonomisation et ses sources socio-économiques (éducation, travail rémunéré), les influences intra-ménages sous forme d’une utilisatrice co-résidante et les facteurs structurels liés au système de santé. RéSULTATS: Moins de 5% des 14 032 femmes en âge de procréer utilisaient la contraception moderne au moment de l’enquête. Les femmes jouant un rôle dans la prise de décision, celles ayant une éducation formelle, un travail rémunéré, étaient plus susceptibles d’utiliser les contraceptifs modernes. Les femmes avaient trois fois plus de chances de faire la contraception moderne si elles vivaient dans un ménage avec une autre femme, généralement une coépouse, qui utilisait une méthode moderne. Comparées aux femmes les plus proches d’un centre de santé, celles qui vivaient entre 2 and 5 kilomètres étaient deux fois moins susceptibles d’utiliser un contraceptif moderne et celles entre 5 and 10 étaient plus susceptibles dans un tiers des cas. CONCLUSIONS: Malgré une faible disponibilité des services dans toute la zone d’étude, certaines femmes—même celles en cohabitation—ont pu surmonter les barrières à l’utilisation des contraceptifs modernes. Lors de la planification et de la mise en œuvre de stratégies pour élargir l’accès à la contraception, les décideurs et les praticiens devraient tenir compte de l’autonomisation des femmes, des réseaux sociaux, et de la conception du système de santé. Les systèmes de santé accessibles et efficaces devraient reconsidérer l’approche conventionnelle de la prestation de services communautaires, en prenant en compte la distance même à moins de 5 kilomètres. 	psychology
dd2577a7a3395c92a273734a777c945f2b45f9431afd265400bee24ccb04fce4	 L’analyse à classes latentes a permis aux épidémiologistes de surmonter les problèmes concrets posés par les méthodes traditionnelles d’évaluation des essais de diagnostic, qui nécessitent à la fois un test de référence absolue (étalon ou gold standard) et un grand nombre d’échantillons de référence aux caractéristiques appropriées. Au cours des quatre dernières décennies, les méthodes d’analyse à classes latentes ont acquis de l’ampleur et permettent aux épidémiologistes d’évaluer les essais diagnostiques et d’estimer les taux de prévalence réelle tout en recourant à des tests supposés imparfaits, grâce à l’utilisation de données et de scénarios divers et complexes, y compris dans les situations d’émergence de nouvelles maladies infectieuses. Les auteurs font un tour d’horizon des dernières évolutions dans ce domaine et donnent des orientations pratiques concernant la manière d’utiliser l’analyse bayésienne à classes latentes pour évaluer les performances d’un test de diagnostic. Avant de conduire une telle analyse, il convient de déterminer avec soin si elle est adaptée à l’agent pathogène considéré et si les échantillons disponibles sont appropriés et en nombre suffisant ; il convient également de prendre en compte le nombre de tests de diagnostic à évaluer et la structure des données utilisées. Lors de la conception du modèle, sa structure et la définition préalable des données informatives vont affecter la probabilité que le modèle génère des inférences utiles. Face à la nécessité croissante de disposer de méthodes analytiques sophistiquées pour évaluer les tests de diagnostic utilisés pour les maladies émergentes nouvelles, les analyses à classes latentes offrent des perspectives prometteuses pour la recherche, aussi bien dans le domaine de la santé vétérinaire que de la médecine humaine. 	veterinary
82f48e1e9f014ba8609b3f2227ea7ec7e9ec6e55e68de0231628750977d5a2bd	 La rectocolite ulcéro-hémorragique (RCUH) représente une maladie fréquente en Suisse avec une prévalence de 1 sur 1000 habitants. Le diagnostic se base sur la présentation clinique typique avec des diarrhées sanglantes, une image endoscopique caractéristique avec une inflammation continue qui touche pratiquement toujours le rectum, et une image histologique compatible. La RCUH se développe chez des individus avec prédisposition génétique et une dérégulation du système immunitaire colique. Cet article fait le point sur la pathogenèse, le diagnostic et les approches thérapeutiques de cette maladie. 	etiology
fe858b3a92b57eb8012516cda946712cae36353a78668dc0987279d3e9fb8189	 Qualité de vie et fonctionnement familial des parents d’enfants souffrant d’un trouble de déficit de l’attention avec hyperactivité. Le trouble de déficit de l’attention avec hyperactivité (TDHA) constitue un trouble neuro-développemental courant de l’enfant ayant une grave incidence sur les individus, les familles et les communautés. Il est associé à des troubles cognitifs, comportementaux, émotionnels, sociaux et développementaux, ainsi qu’à une baisse des résultats scolaires. Fournir une description de la qualité de vie des parents d’enfants atteints d’un TDHA, ainsi que de leur fonctionnement familial. Déterminer la relation entre la qualité de vie, le fonctionnement familial et les caractéristiques socio-démographiques. Il s’agissait d’une étude transversale menée auprès de 125 parents d’enfants souffrant de différents types de TDHA, sélectionnés par échantillonnage aléatoire systématique. L’étude a été conduite entre mai et décembre 2015 dans la clinique de consultations externes en médecine familiale du centre hospitalier universitaire du Canal de Suez. Le questionnaire de l’OMS sur la qualité de vie dans sa version abrégée et le score d’Apgar (apparence, pouls, grimace, activité, respiration) ont été utilisés pour recueillir les données. Les scores médians concernant les domaines physique, psychologique et social étaient de 12, et le score moyen du domaine environnemental était de 11,9. Les scores médians de la perception de la santé et de la qualité de vie de ces parents étaient de 3,0. La plupart des familles (79,2 %) étaient dysfonctionnelles. Des liens statistiquement significatifs ont été trouvés entre tous les domaines et l’éducation ; entre les scores de la qualité de vie portant sur la condition physique et le sexe, l’emploi et les revenus ; entre les scores de la qualité de vie portant sur l’état psychologique et le lieu d’habitation ; et entre les scores de la qualité de vie liés à l’environnement et l’âge, les revenus et la situation maritale. Les familles dysfonctionnelles étaient susceptibles d’être affectées par les scores de la qualité de vie des domaines portant sur l’âge, le sexe, et la condition physique et psychologique des parents. Les parents d’enfants atteints d’un TDHA avaient une qualité de vie moyenne. La plupart des parents venaient de familles dysfonctionnelles. Des études portant sur les interventions familiales sont recommandées à l’avenir. 	psychology
094f6491b6a59f59290096b176c8c0882dab9d73416430e214303a7081d020fc	 La paramécie, un organisme modèle pour étudier la ciliogenèse et les maladies ciliaires. Le cil est une extension présente à la surface de la quasi-totalité des cellules eucaryotes. Conservé au cours de l’évolution, il assure des fonctions sensorielles et/ou motiles. Chez l’homme, le dysfonctionnement ciliaire est à l’origine de différentes maladies regroupées sous le nom de ciliopathies. Grâce à sa ciliature complexe, la paramécie constitue un modèle de choix pour étudier non seulement la structure, l’assemblage et les fonctions des cils, mais aussi pour valider les mutations de gènes associées à ces ciliopathies. 	genetics
4481776143fa92fb5cb632d2c6f4520fb75e070fd66ee3f24a4e7160a6e578af	 Les déplacements des bovins en tant que facteur de risque épidémiologique Les déplacements d‘animaux constituent un des risques les plus importants pour la survenance d’une épidémie. En Suisse, il est prescrit que chaque déplacement d’un animal de rente doit être annoncé et saisi dans la Banque de Données sur le Trafic des Animaux (BDTA). Sur la base de ces annonces, nous avons examiné tous les déplacements de l’année 2011 et concentré notre attention sur leur répartition géographique par rapport à l’extension des maladies animales contagieuses. Entre le 1er janvier 2011 et le 30 janvier 2012, 786’462 bovins au total ont été déplacés. Ce sont au maximum 901 contacts avec possibilité de transmission d’un agent infectieux qui se sont produits un jour donné après l’arrivée d’un nouvel animal. Vu les déplacements liés à la montée et à la descente de l’alpage, il y a eu plus de déplacements en été qu’en hiver. On constate également des différences régionales. Le premier jour après l’arrivée d’un bovin, il existait au minimum 0 et au maximum 99’168 contacts possibles pour la transmission d’un agent infectieux. Dans la plupart des cas (91.4%), il ne se produisait pas de trafic de bovins le jour suivant l’arrivée d’un animal. En ce qui concerne les maladies contagieuses des bovins revêtant un intérêt en Suisse, on a relevé les contacts de bovins suivants durant la période d’incubation: 19’779’551 pour la lumpy skin disease, avec un temps d’incubation de 28 jours, 9’891’665 ou 15’025’741 pour la fièvre aphteuse, selon qu’on considère un temps d’incubation de 14 ou de 21 jours, 15’025’741 pour la peste bovine et la stomatite vésiculeuse, toutes deux avec un temps d’incubation de 21 jours. Ces chiffres démontrent un grand trafic d’animaux en Suisse. C’est une indication qu’un agent infectieux ne peut que rarement faire démarrer une épidémie. 	veterinary|etiology
